曲名,歌手名,ユーザー,スコア,日付
#情とは,This is LAST,まつりく,89.621,2025-09-02 04:10:10
CHEERS,Mrs. GREEN APPLE,まつりく,82.754,2025-09-02 04:02:30
キケンナアソビ,クリープハイプ,まつりく,85.383,2025-09-02 03:49:23
ピーターパン,優里,まつりく,87.031,2025-09-02 03:33:27
三茶物語,ヤングスキニー,まつりく,87.561,2025-09-02 03:22:07
あかり,My Hair is Bad,まつりく,89.929,2025-09-02 03:07:41
運命,My Hair is Bad,まつりく,86.768,2025-09-02 02:54:22
接吻とフレンド,My Hair is Bad,まつりく,90.662,2025-09-02 02:43:14
浮気のとなりで,My Hair is Bad,まつりく,88.794,2025-09-02 02:32:48
告白,My Hair is Bad,まつりく,89.928,2025-09-02 02:23:37
瞳にめざめて,My Hair is Bad,まつりく,88.942,2025-09-02 02:05:40
結婚しようよ,My Hair is Bad,まつりく,85.84,2025-09-02 01:48:02
グッバイ・マイマリー,My Hair is Bad,まつりく,89.269,2025-09-02 01:39:47
悪い癖,My Hair is Bad,まつりく,88.536,2025-09-02 01:26:06
チェックのワンピース,back number,まつりく,94.105,2025-09-02 00:55:51
チェックのワンピース,back number,まつりく,93.559,2025-09-02 00:42:27
思い出をかけぬけて,My Hair is Bad,まつりく,91.533,2025-09-01 23:09:37
味方,My Hair is Bad,まつりく,92.402,2025-09-01 22:44:51
真赤,My Hair is Bad,まつりく,88.073,2025-09-01 22:32:45
一母八花,My Hair is Bad,まつりく,89.071,2025-09-01 22:22:04
世界に一つだけの花,SMAP,まつりく,93.424,2025-09-01 22:07:42
電車の窓から,back number,まつりく,94.093,2025-09-01 21:54:55
電車の窓から,back number,まつりく,94.294,2025-09-01 21:41:35
チェックのワンピース,back number,まつりく,94.583,2025-09-01 21:13:21
チェックのワンピース,back number,まつりく,94.437,2025-09-01 21:00:12
自由とヒステリー,My Hair is Bad,まつりく,93.265,2025-09-01 20:41:58
感情,wacci,まつりく,94.639,2025-09-01 20:25:10
感情,wacci,まつりく,93.882,2025-09-01 20:03:43
眠り姫,SEKAI NO OWARI(世界の終わり),まつりく,92.639,2025-09-01 19:52:22
レオ,優里,まつりく,91.534,2025-09-01 19:37:29
ドラマみたいだ,My Hair is Bad,まつりく,90.684,2025-09-01 19:19:02
幻,My Hair is Bad,まつりく,93.293,2025-09-01 18:55:08
悪い癖,My Hair is Bad,まつりく,88.476,2025-09-01 18:33:28
僕と僕,川崎鷹也,まつりく,95.965,2025-09-01 18:18:21
